wavelength,flux,sigma
13.170043,0.144207,0.049771
13.179994,0.146208,0.001953
13.189943,0.145975,0.002722
13.19989,0.147983,0.001888
13.2003,0.142835,0.002201
13.21104,0.146778,0.002798
13.221781,0.144243,0.002079
13.232518,0.147588,0.002021
13.243254,0.146157,0.001881
13.253986,0.144773,0.002573
13.264719,0.1453,0.002539
13.275449,0.145881,0.002036
13.286178,0.149693,0.002324
13.296904,0.145491,0.00249
13.307629,0.147359,0.001946
13.318352,0.146369,0.002007
13.329072,0.147064,0.00221
13.3398,0.145281,0.0022
13.350525,0.145074,0.002417
13.36124,0.146606,0.002745
13.371954,0.147083,0.00244
13.382666,0.146853,0.002534
13.393375,0.147477,0.002876
13.404084,0.146549,0.002636
13.414791,0.145602,0.041702
13.425495,0.151746,0.002248
13.436197,0.153199,0.00341
13.446898,0.150342,0.003393
13.45741,0.149562,0.00274
13.468107,0.148504,0.00286
13.478803,0.148999,0.003142
13.489496,0.152048,0.003143
13.500188,0.150981,0.003297
13.510878,0.148346,0.002898
13.521565,0.148205,0.002553
13.532251,0.150421,0.002976
13.542935,0.150596,0.002423
13.553618,0.148729,0.003274
13.564299,0.1503,0.002461
13.574978,0.149478,0.00294
13.585655,0.152015,0.003128
13.596331,0.152003,0.002817
13.607004,0.152956,0.003297
13.617676,0.152319,0.002914
13.628345,0.150723,0.002615
13.639013,0.154636,0.003129
13.649488,0.152707,0.002884
13.660152,0.156123,0.00245
13.670815,0.158006,0.057503
13.681476,0.156554,0.002329
13.692135,0.15921,0.002176
13.702791,0.158969,0.002408
13.713448,0.162006,0.002535
13.7241,0.152757,0.002198
13.734752,0.155044,0.00229
13.745401,0.153783,0.002264
13.75605,0.154028,0.003012
13.766697,0.155551,0.002557
13.777341,0.15634,0.002445
13.787984,0.150756,0.00231
13.798624,0.152221,0.002677
13.809263,0.15476,0.002083
13.819901,0.155615,0.002543
13.830537,0.157616,0.002342
13.841171,0.156796,0.002132
13.851803,0.157299,0.002643
13.862432,0.165857,0.073459
13.873061,0.160419,0.002617
13.883688,0.163213,0.002533
13.894313,0.161684,0.00239
13.904936,0.159627,0.002298
13.915558,0.157911,0.002605
13.926176,0.161921,0.002523
13.936794,0.161594,0.002407
13.947411,0.160414,0.002623
13.958025,0.160103,0.002515
13.968637,0.162597,0.002363
13.979248,0.161273,0.002697
13.989857,0.168005,0.002232
14.000463,0.16325,0.003394
14.011068,0.161121,0.002368
14.021673,0.162487,0.002835
14.032274,0.16201,0.002723
14.042875,0.161416,0.002728
14.053473,0.162161,0.002859
14.06407,0.161562,0.002562
14.074664,0.157467,0.003392
14.085257,0.156531,0.002815
14.095848,0.154597,0.003445
14.106438,0.158632,0.002357
14.117025,0.159064,0.002792
14.127611,0.155657,0.003038
14.138195,0.157639,0.002849
14.148778,0.161213,0.002229
14.159359,0.158365,0.003476
14.169937,0.159892,0.002964
14.180515,0.166724,0.002841
14.191091,0.160306,0.00317
14.205001,0.158178,0.002833
14.216478,0.158173,0.002633
