wavelength,flux,sigma
11.39786,0.26501,0.002162
11.406779,0.264642,0.002322
11.415697,0.265369,0.00457
11.424613,0.264805,0.002509
11.433529,0.264889,0.002257
11.442442,0.260475,0.002856
11.451353,0.261164,0.002762
11.460264,0.257414,0.002468
11.469173,0.258682,0.00223
11.478081,0.254524,0.004317
11.486986,0.254402,0.002542
11.495892,0.255557,0.002543
11.504794,0.25285,0.002781
11.513696,0.251863,0.00468
11.522596,0.251728,0.002583
11.531494,0.24946,0.002473
11.540392,0.244988,0.002126
11.549287,0.24744,0.003066
11.558182,0.246842,0.002628
11.567074,0.24388,0.002359
11.575966,0.241847,0.004993
11.584855,0.239819,0.007994
11.593743,0.24467,0.002441
11.60263,0.238346,0.002144
11.611515,0.240933,0.002304
11.620399,0.238649,0.002293
11.629282,0.238571,0.002325
11.638163,0.235196,0.00207
11.647041,0.236778,0.130439
11.65592,0.236132,0.002307
11.664797,0.244804,0.003758
11.673672,0.233056,0.003792
11.682545,0.236221,0.119649
11.691418,0.235293,0.002889
11.708624,0.236363,0.004336
11.718117,0.239502,0.00436
11.72761,0.232232,0.006582
11.7371,0.230433,0.005856
11.746588,0.226964,0.042855
11.756075,0.229065,0.005228
11.765561,0.226862,0.005398
11.775045,0.227105,0.005319
11.784528,0.228244,0.004816
11.794008,0.226838,0.005192
11.803488,0.230974,0.0969
11.812965,0.223492,0.004473
11.822443,0.223884,0.003967
11.83192,0.223619,0.003055
11.841393,0.223096,0.004315
11.850864,0.229132,0.004357
11.860332,0.223568,0.005737
11.869801,0.224913,0.002963
11.879268,0.22257,0.003475
11.888732,0.225236,0.003314
11.898195,0.223607,0.002986
11.907658,0.224129,0.002535
11.917116,0.221399,0.013564
11.926575,0.220808,0.003961
11.936031,0.219169,0.003753
11.945487,0.215606,0.003139
11.954941,0.21474,0.00395
11.964392,0.221322,0.004142
11.973843,0.217162,0.00337
11.983292,0.212665,0.004087
11.992739,0.210609,0.002494
12.002184,0.21506,0.003729
12.011629,0.213514,0.003242
12.02107,0.207453,0.002519
12.030512,0.208742,0.00378
12.039951,0.209555,0.00403
12.049389,0.213139,0.003177
12.058825,0.208657,0.003415
12.06826,0.214084,0.003258
12.077692,0.205935,0.003226
12.087124,0.206605,0.00322
12.096554,0.205688,0.003144
12.105982,0.203667,0.002921
12.115408,0.204806,0.003925
12.124834,0.200439,0.002994
12.134256,0.206474,0.003783
12.143679,0.202341,0.0035
12.153099,0.202907,0.00365
12.162518,0.203802,0.106944
12.171936,0.20286,0.003399
12.181351,0.201871,0.002777
12.190764,0.197529,0.00377
12.200177,0.197879,0.002922
12.209588,0.202518,0.002807
12.218998,0.199829,0.003298
12.228405,0.190435,0.004185
12.237811,0.197444,0.003436
12.247215,0.201325,0.003104
12.256618,0.195374,0.003802
12.26602,0.200679,0.004776
12.275419,0.203988,0.004267
12.284819,0.198926,0.003822
12.294215,0.194213,0.006058
12.30361,0.200342,0.085757
12.313004,0.199195,0.004418
12.322395,0.198509,0.10178
12.331787,0.194251,0.004958
12.341175,0.196613,0.004443
12.350563,0.197613,0.004081
12.359948,0.198524,0.003812
12.369333,0.2015,0.003108
12.378716,0.201314,0.004312
12.388096,0.196393,0.002778
12.397476,0.194117,0.00507
12.408842,0.202064,0.005589
12.418926,0.193399,0.003935
12.429008,0.196949,0.002811
12.439085,0.202137,0.004023
12.44916,0.196692,0.003798
12.45923,0.196607,0.004438
12.469302,0.198788,0.00451
12.479371,0.196384,0.00456
12.489439,0.197322,0.003604
12.499504,0.194513,0.003325
12.509567,0.198612,0.003568
12.51963,0.199871,0.003611
12.529691,0.196729,0.003509
12.539749,0.196448,0.003364
12.549807,0.19382,0.033725
12.559862,0.197849,0.003664
12.569916,0.198039,0.003226
12.579967,0.196378,0.003583
12.590017,0.19602,0.003704
12.600065,0.196697,0.005444
12.610113,0.195871,0.003493
12.620158,0.191874,0.041217
12.630201,0.193915,0.00394
12.640244,0.197191,0.005219
12.650288,0.194972,0.003101
12.660331,0.19579,0.003629
12.670367,0.19482,0.003524
12.680403,0.194249,0.003541
12.690435,0.196526,0.005378
12.700466,0.196417,0.002603
12.710497,0.196326,0.001922
12.720524,0.196529,0.00227
12.730551,0.200931,0.08321
12.740576,0.194676,0.043405
12.750599,0.197083,0.002285
12.76062,0.195893,0.002701
12.770639,0.196667,0.002619
12.780657,0.195318,0.003026
12.790674,0.194934,0.031108
12.800688,0.195358,0.002832
12.8107,0.206096,0.002957
12.820712,0.196603,0.0028
12.830721,0.193831,0.003962
12.840729,0.194244,0.003032
12.850735,0.19186,0.003281
12.86074,0.193241,0.002682
12.870743,0.192031,0.003607
12.880743,0.193564,0.00319
12.890743,0.195389,0.003271
12.900741,0.190997,0.003762
12.910736,0.192633,0.004952
12.920731,0.193099,0.001918
12.930723,0.191105,0.00195
12.940714,0.193248,0.002226
12.950704,0.195102,0.002607
12.960691,0.190664,0.002617
12.970676,0.195056,0.002761
12.980661,0.190722,0.002618
12.990644,0.193171,0.003871
13.000625,0.189167,0.00267
13.010603,0.191582,0.002431
13.02058,0.19217,0.029101
13.030557,0.197328,0.002373
13.040531,0.194578,0.013121
13.050504,0.192752,0.003398
13.060474,0.192937,0.003291
13.070444,0.194563,0.002444
13.080411,0.192999,0.002701
13.090377,0.190111,0.002203
13.100341,0.189595,0.002537
13.110304,0.18978,0.002879
13.120264,0.190803,0.002597
13.130223,0.192237,0.002544
13.140181,0.192462,0.003299
13.150137,0.191474,0.002743
13.160091,0.190161,0.003302
13.170043,0.193903,0.082956
13.179994,0.192824,0.00323
13.189943,0.192936,0.004251
13.19989,0.192221,0.00344
13.2003,0.19255,0.002657
13.21104,0.200607,0.00335
13.221781,0.198604,0.003033
13.232518,0.199362,0.003122
13.243254,0.19625,0.003588
13.253986,0.196901,0.002366
13.264719,0.195498,0.003178
13.275449,0.197459,0.003378
13.286178,0.197672,0.004349
13.296904,0.196354,0.002186
13.307629,0.201222,0.003312
13.318352,0.196218,0.00287
13.329072,0.199802,0.003788
13.3398,0.196026,0.002258
13.350525,0.200413,0.002182
