wavelength,flux,sigma
12.153099,0.194146,0.002134
12.162518,0.194009,0.092732
12.171936,0.195107,0.00274
12.181351,0.196716,0.001982
12.190764,0.195272,0.002962
12.200177,0.192759,0.002419
12.209588,0.19223,0.002676
12.218998,0.193073,0.002692
12.228405,0.185224,0.004544
12.237811,0.18897,0.002838
12.247215,0.200061,0.00228
12.256618,0.190888,0.005754
12.26602,0.192115,0.004903
12.275419,0.199327,0.003461
12.284819,0.194021,0.002689
12.294215,0.187669,0.005682
12.30361,0.194461,0.077041
12.313004,0.190673,0.002726
12.322395,0.193658,0.098693
12.331787,0.19094,0.00273
12.341175,0.192183,0.003369
12.350563,0.189413,0.004238
12.359948,0.188369,0.004376
12.369333,0.197138,0.003588
12.378716,0.194022,0.004962
12.388096,0.192008,0.002373
12.397476,0.193709,0.003312
12.408842,0.194203,0.003637
12.418926,0.191804,0.004969
12.429008,0.195263,0.003295
12.439085,0.197875,0.003286
12.44916,0.198031,0.002904
12.45923,0.197401,0.00365
12.469302,0.196295,0.003699
12.479371,0.194737,0.003991
12.489439,0.194384,0.002657
12.499504,0.191666,0.001804
12.509567,0.197515,0.002555
12.51963,0.200586,0.003279
12.529691,0.196264,0.002474
12.539749,0.196917,0.002593
12.549807,0.195847,0.035764
12.559862,0.197362,0.003606
12.569916,0.195838,0.00232
12.579967,0.197879,0.002071
12.590017,0.198293,0.002369
12.600065,0.197806,0.002904
12.610113,0.197921,0.002902
12.620158,0.19462,0.04162
12.630201,0.194735,0.002789
12.640244,0.199055,0.00345
12.650288,0.19496,0.001656
12.660331,0.19301,0.002341
12.670367,0.193554,0.001782
12.680403,0.194923,0.0019
12.690435,0.195028,0.002198
12.700466,0.192925,0.002222
12.710497,0.199788,0.001928
12.720524,0.192356,0.001902
12.730551,0.195086,0.079405
12.740576,0.19374,0.045601
12.750599,0.194358,0.001526
12.76062,0.193634,0.001481
12.770639,0.193456,0.001473
12.780657,0.19449,0.001429
12.790674,0.193853,0.035474
12.800688,0.194483,0.001487
12.8107,0.197881,0.001489
12.820712,0.193623,0.001709
12.830721,0.19543,0.002222
12.840729,0.19184,0.003213
12.850735,0.19086,0.001463
12.86074,0.189963,0.00166
12.870743,0.192394,0.002852
12.880743,0.189047,0.001477
12.890743,0.188817,0.001773
12.900741,0.191152,0.001845
12.910736,0.190113,0.001958
